[L]2023-11-14 17:23:29.517|32_46025623696848897| INF |DESKTOP-4PAEICH|pool-1-thread-8|value.go|596|call|System|Nil|"grpc server is closed."| 
[L]2023-11-14 17:23:29.513|33_46025623696914433| DBG |DESKTOP-4PAEICH|pool-1-thread-9|bus.go|96|func1|System|Nil|"call ExitWebServer args = []"| 
[L]2023-11-14 17:23:29.518|34_46025623696979969| DBG |DESKTOP-4PAEICH|pool-1-thread-6|bus.go|100|1|System|Nil|"call Quit error, stack frames :
    Error Message: reflect: Call with too many input arguments
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:100 (0x142106a)
    C:/Program Files/Go/src/runtime/panic.go:914 (0x34b11e)
    C:/Program Files/Go/src/reflect/value.go:442 (0x429d8d)
    C:/Program Files/Go/src/reflect/value.go:380 (0x427ef8)
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:104 (0x1420fc4)
    C:/Program Files/Go/src/runtime/asm_amd64.s:1650 (0x37bd20)
"| 
[L]2023-11-14 17:23:29.514|35_46025623713363969| DBG |DESKTOP-4PAEICH|pool-1-thread-10|bus.go|96|func1|System|Nil|"call log.info args = [grpc server is closeing...]"| 
[L]2023-11-14 17:23:29.517|36_46025623713429505| WAR |DESKTOP-4PAEICH|pool-1-thread-11|bus.go|85|Publish|System|Nil|"not found handlers in topic:RpcServerExited"| 
[L]2023-11-14 17:23:29.520|37_46025623713495041| INF |DESKTOP-4PAEICH|pool-1-thread-10|value.go|596|call|System|Nil|"grpc server is closeing..."| 
[L]2023-11-14 17:23:29.518|38_46025623713560577| DBG |DESKTOP-4PAEICH|pool-1-thread-7|bus.go|100|1|System|Nil|"call Quit error, stack frames :
    Error Message: reflect: Call with too many input arguments
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:100 (0x142106a)
    C:/Program Files/Go/src/runtime/panic.go:914 (0x34b11e)
    C:/Program Files/Go/src/reflect/value.go:442 (0x429d8d)
    C:/Program Files/Go/src/reflect/value.go:380 (0x427ef8)
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:104 (0x1420fc4)
    C:/Program Files/Go/src/runtime/asm_amd64.s:1650 (0x37bd20)
"| 
[L]2023-11-14 17:23:29.524|39_46025623713626113| DBG |DESKTOP-4PAEICH|pool-1-thread-12|bus.go|96|func1|System|Nil|"call log.error args = [http: Server closed]"| 
[L]2023-11-14 17:23:29.524|40_46025623713691649| DBG |DESKTOP-4PAEICH|pool-1-thread-13|bus.go|96|func1|System|Nil|"call WebServerExited args = []"| 
[L]2023-11-14 17:23:29.526|41_46025623713757185| DBG |DESKTOP-4PAEICH|pool-1-thread-14|bus.go|96|func1|System|Nil|"call log.info args = [Web server is closed. exit code =  0]"| 
